scenario_id,metametric,average_displacement_error,linear_speed_likelihood,linear_acceleration_likelihood,angular_speed_likelihood,angular_acceleration_likelihood,distance_to_nearest_object_likelihood,collision_indication_likelihood,time_to_collision_likelihood,distance_to_road_edge_likelihood,offroad_indication_likelihood,min_average_displacement_error,number_of_agents,difficulties,all_going straight,eval_going straight,all_stationary,eval_stationary,all_turning,eval_turning,all_moving,eval_moving,all_moving_perc,eval_moving_perc,all_turning_perc,eval_turning_perc,moving_perc_rel_to_gt,turning_perc_rel_to_gt
637f20cafde22ff8,0.2086137384176254,5.2426958084106445,0.3690941631793976,0.2095773518085479,0.0103436149656772,0.0144498739391565,0.247151106595993,0.0747645124793052,0.7106833457946777,0.4575727581977844,0.0747645124793052,5.2426958084106445,50,1 1 2,26,4,24,0,0,0,26,4,0.52,1.0,0.0,0.0,1.0,0.0
637f20cafde22ff8,0.3897318243980407,7.61659049987793,0.4870620369911194,0.208491638302803,0.0517530106008052,0.0396962277591228,0.1553576439619064,0.9999688267707824,0.717960774898529,0.5205653309822083,0.0747645124793052,7.61659049987793,50,1 1 2,27,3,15,0,8,1,35,4,0.7,1.0,0.2285714285714285,0.25,1.346153846153846,5.942857142857141
637f20cafde22ff8,0.2257511019706726,4.690791606903076,0.4972570538520813,0.2096706926822662,0.1547583192586898,0.1095230728387832,0.1005542799830436,0.0747645124793052,0.6834971904754639,0.4540268182754516,0.0747645124793052,4.690791606903076,50,1 1 2,29,3,15,0,6,1,35,4,0.7,1.0,0.1714285714285714,0.25,1.346153846153846,4.457142857142856
637f20cafde22ff8,0.262544572353363,1.806102514266968,0.7034141421318054,0.2419891059398651,0.1533077806234359,0.0940966010093689,0.1809051036834716,0.0747645124793052,0.7028257846832275,0.5415651798248291,0.0747645124793052,1.806102514266968,50,1 1 2,22,4,22,0,6,0,28,4,0.56,1.0,0.2142857142857142,0.0,1.076923076923077,5.5714285714285685
637f20cafde22ff8,0.4153807461261749,2.7416694164276123,0.7446591854095459,0.264466643333435,0.1506323963403701,0.0836275815963745,0.1940744370222091,0.9999688267707824,0.5939063429832458,0.5728573799133301,0.0055899061262607,2.7416694164276123,50,1 1 2,25,4,21,0,4,0,29,4,0.58,1.0,0.1379310344827586,0.0,1.1153846153846152,3.5862068965517238
637f20cafde22ff8,0.2718276083469391,1.7572795152664185,0.7618042826652527,0.2407957017421722,0.1606324315071106,0.0829931646585464,0.1886594444513321,0.0747645124793052,0.7120884656906128,0.5742751359939575,0.0747645124793052,1.7572795152664185,50,1 1 2,21,2,21,0,8,2,29,4,0.58,1.0,0.2758620689655172,0.5,1.1153846153846152,7.172413793103447
637f20cafde22ff8,0.4295144975185394,1.9080810546875,0.8032251596450806,0.2464930862188339,0.1392895877361297,0.1130297482013702,0.1418484002351761,0.0747645124793052,0.6816912889480591,0.4973392188549042,0.9999688267707824,1.9080810546875,50,1 1 2,26,3,19,0,5,1,31,4,0.62,1.0,0.1612903225806451,0.25,1.1923076923076923,4.193548387096772
637f20cafde22ff8,0.1829276382923126,2.169613838195801,0.4772171974182129,0.1850613206624984,0.0103436149656772,0.0144498739391565,0.2535842359066009,0.0055899061262607,0.7111158967018127,0.2200482487678527,0.0747645124793052,2.103853464126587,50,1 1 2,30,3,20,1,0,0,30,3,0.6,0.75,0.0,0.0,1.1538461538461535,0.0
f7e258ca565274d1,0.331842303276062,16.36881446838379,0.0027172951959073,0.1272781789302826,0.0063852639868855,0.0210028439760208,0.1463396400213241,0.0314967036247253,0.7721784710884094,0.5483039021492004,0.9999688267707824,16.36881446838379,29,1 1,28,1,0,0,1,2,29,3,1.0,1.0,0.0344827586206896,0.6666666666666666,1.0,inf
f7e258ca565274d1,0.6393274664878845,25.91404151916504,0.0071652880869805,0.1507768034934997,0.4224929511547088,0.5003926157951355,0.3110339045524597,0.9999688267707824,0.8825727105140686,0.8293288946151733,0.9999688267707824,25.91404151916504,29,1 1,28,1,0,0,1,2,29,3,1.0,1.0,0.0344827586206896,0.6666666666666666,1.0,inf
